"YEAR","COUNTRY","LOCATION","LAT","LON","REMARKS","SOURCE","CODE","SEVERITY"
2008,"France","Hermitage, Reunion",-21.22,55.22,"0% of recorded Recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Harold Cambert. Site ID  55.13.17.8E.21.13.17.8S","FRA","NONE"
2008,"France","Saint Gilles, Reunion",-21.05,55.23,"0% of recorded Recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Harold Cambert. Site ID : -55.13.30.26E.21.2.44.03S","FRA","NONE"
2008,"France","Saint-Leu, Reunion",-21.16,55.28,"0% of recorded Recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Harold Cambert . Site ID: 55.17.05.1E.21.09.50.6S","FRA","NONE"
2009,"Macau","Koh Tao, Surat Thani",10.12,99.81,"0% of recorded recently killed coral on substrate is result of bleaching; Coral disease was white band on one large table coral","Reef check submitted by Suchana Apple Chavanich. Site ID :  99.48.51E.10.07.06N","MAC","NONE"
2002,"Panama (Atlantic)","Cayos Zapatilla A, Archipielago de Bocas del Toro",9.2723,-82.0065,"Live stony coral cover 28%.  
23% of stony coral (>10 cm diameter) pale to completely  bleached","Coral List:30/7/2002: Marilyn Brandt","PAN","MEDIUM"
2001,"St. Croix","Long Reef, St Croix, US Virgin Islands",17.7,-64.9,"50% of colonies show mild bleaching","Coral Listserver","VIR","LOW"
2003,"Zanzibar Islands","Bawe Island",-6.246,39.166,"Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003","ZAN","LOW"
2003,"Zanzibar Islands","Changu",-6.426,39.346,"Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003","ZAN","LOW"
2003,"Zanzibar Islands","Chumbe Island Marine Park",-6.271,39.175,"Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003","ZAN","LOW"
2003,"Zanzibar Islands","Kizimkizi",-6.2742,39.2848,"Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003","ZAN","LOW"
2005,"Kenya","Kijembe Reef, Mombasa",-4.073,39.69,"There is currently a mild coral bleaching event occurring on reefs adjacent to Mombasa, Kenya. My observations come from Kijembe Reef (a lagoonal patch reef), just north of the coastal town of Mombasa. NOAA satellite monitoring currently shows the accumulated thermal stress in the
waters around Kenya and Tanzania to be 3 DHW.
<br>
Pocillopora is the main group to be affected (P. eydouxi, P. verrucosa and
P. damicornis) with normal, pale and fully bleached colonies observed. Other
genera showing pale tissue include Porites, Platygyra, Echinopora, Galaxea,
Goniopora, Astreopora, Montipora and Hydnophora (one individual only).
Acropora species at the site are all normal, and have only been affected by
crown-of-thorns starfish which are present in elevated numbers at the site.
<br>No colonies appeared to have died from bleaching to date.
The SE monsoon winds, high cloud cover and rains we have been experiencing should help to reduce bleaching stress.","Sangeeta Mangubhai [smangubhai@africaonline.co.ke] in coral list 26/4/2005","KEN","LOW"
2003,"Kenya","Kiunga",-1.986,41.383,"Paling of coral colonies was first observed in Kiunga during monitoring prior to March 24, however it was so mild that it was not specially noted.  From April 4 in Kiunga, bleaching was first observed and reported widely.  Following that, pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are paling, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).  
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.","David Obura 
Coral-list@coral.aoml.noaa.gov 5/8/2003","KEN","LOW"
2001,"Kenya","Kiunga MNR",-1.75,41.4833,"95% colonies bleached partially or copmpletly","CORDIO Newsletter 3 May 2001","KEN","HIGH"
2003,"Kenya","Malindi",-3.215,40.127,"From April 8 in Malindi, bleaching was first observed and reported widely.  Following that, pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are paling, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.","David Obura 
Coral-list@coral.aoml.noaa.gov 5/8/2003","KEN","LOW"
2003,"Kenya","Mombasa Marine Park",-3.985,39.762,"Pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are paling, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).  Bleaching was also recorded at 12-15m on the fore reef slope off Mombasa, though at lower levels of <5%, and to milder levels than in shallow water.
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.
From repeated surveys in the Mombasa area in April/May, it appears that the incidence of bleaching is not increasing, and it remains to be seen to what extent colonies recover or die.  From temperature logger data for Mombasa, the bleaching was only observed at the end of the temperature plateau around April 10, and since then water temperatures have steadily declined.","David Obura
Coral-list@coral.aoml.noaa.gov 5/8/2003","KEN","LOW"
2001,"Kenya","Mombasa MNP",-4,39.75,"partial bleaching in some Pocillopora sp","CORDIO Newsletter 3 May 2001","KEN","LOW"
2000,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,"During summer (December) , relatively low numbers of coral taxa (9) and coral colonies (89) were bleached (Table). The soft coral Sarcophyton was the taxon most susceptible to bleaching with 100% colonies severely bleached (71100% surface area of individual colonies bleached). However, no mortalities of these colonies were recorded. The majority of the remaining taxa were only slightly
bleached (130% of individual colonies bleached).
<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,"In contrast to summer (Dec 2000), many more coral taxa and coral colonies were recorded bleached during late summer (march 2001)(21 and 290, respectively) and winter (Sept/Oct 2001) (25 and 557, respectively) (Table). Although the majority of the affected taxa were
recorded in the severely bleached category, mortality was low. Porites was highly susceptible to bleaching, with 75% of the bleached colonies being 71100% bleached. Of the Alcyonacea, Sarcophyton was the most susceptible taxon to bleaching, with 88% of bleached colonies being severely bleached. Although more coral taxa were bleached during winter than during late summer, there was a marked reduction in the number of taxa that were severely bleached
(Table). However, more taxa suffered mortalities during winter compared to late summer. Sarcophyton was again the most susceptible taxon to bleaching, with 60% of the bleached colonies being severely bleached. 
<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,"In contrast to summer (Dec 2000), many more coral taxa and coral colonies were recorded bleached during late summer (March 2001)(21 and 290, respectively) and winter (Sept/Oct 2001) (25 and 557, respectively) (Table). Although the majority of the affected taxa were
recorded in the severely bleached category, mortality was low. Porites was highly susceptible to bleaching, with 75% of the bleached colonies being 71100% bleached. Of the Alcyonacea, Sarcophyton was the most susceptible taxon to bleaching, with 88% of bleached colonies being severely bleached.  
<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
