"YEAR","COUNTRY","LOCATION","LAT","LON","REMARKS","CODE","SEVERITY"
1998,"Somalia","1km west of Raas Cuuda",10.7898,45.979,"Most coral was dead in obs during Mar 99, related to bleaching","SOM","HIGH"
1998,"New Caledonia","Abore Reef",-22.43,166.37,"0","NCL","HIGH"
1998,"Australia","Abrolhos Islands",-28.6833,113.8333,"no bleaching","AUS","HIGH"
1998,"Brazil","Abrolhos Reefs ( Abrolhos  Archipelago )",-17.66666667,-38.5," Moderate bleaching","BRA","HIGH"
1998,"Brazil","Abrolhos Reefs, Brazil",-17.785,-39,"90% of Mussismilia hispida bleached, 80% Agaricia agaricites and 70% Siderastrea stellata bleached.","BRA","HIGH"
1998,"United Arab Emirates","Abu Dhabi",24.45,54.3833,"extensive ","ARE","HIGH"
1996,"United Arab Emirates","Abu Dhabi",24.45,54.3833,"extensive","ARE","HIGH"
1996,"Bahrain","Abul Thalma",26.275,50.94,"One third of coral belached, one third was in the process of recovering and the remaining one third was being colonized or had recently been colonized by algae (dead).

Acropora arabensis - most coral are in the prosecc of recovery.

A. clathata - Some coral bleached, others were partially or totally pigmented. 

Pocillopora damicornis - all coral bleached

Platygyra daedalea - none bleached

Porites lobata - all coral bleached

Favia pallida - All coral bleached","BHR","HIGH"
1996,"Bahrain","Abul Thama",26,50.5,"33% bleaching","BHR","HIGH"
1998,"Bahrain","Abul Thama",26.9029,50.9448,"50%","BHR","HIGH"
1998,"Bahrain","Abul Thama",26.89,50.97,"5","BHR","HIGH"
1998,"Ecuador","Academy Bay, Santa Cruz Island",-0.8947,-90.4097,"100% bleached","ECU","HIGH"
1998,"Torres Strait & Great Barrier Reef","Acheron Is, north",-18.96535,146.62979,"80-90% bleached","AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Acheron Is, north",-18.96535,146.62979,"80-90% bleached","AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Acheron Is, south",-18.96535,146.62979,"70-80% bleached","AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Acheron Is, south",-18.96535,146.62979,"70-80% bleached","AUS","HIGH"
1997,"Thailand","Adang Island ( Ko Adang )",6.5303,99.2767,"Observed along the western and eastern reefs of Adang.","THA","HIGH"
1997,"Thailand","Adang Island ( Ko Adang )",6.533333333,99.28333333,"Extent Unspecified; Observed along the western and eastern reefs of Adang.","THA","HIGH"
1987,"Maldives","Addu Atoll ( Seenu Atoll )",0.7,73.18333333,"Extent Unspecified; Occurring at all depths.","MDV","HIGH"
1998,"Maldives","Addu Atoll ( Seenu Atoll )",0.7,73.18333333,"Moderate bleaching","MDV","HIGH"
1998,"Torres Strait & Great Barrier Reef","Adelaide Rf",-17.65686,146.46512,NA,"AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Adelaide Rf",-17.65686,146.46512,NA,"AUS","HIGH"
1998,"India","Agatti ",10.8333,72.2,"catastrophic","IND","HIGH"
1994,"Torres Strait & Great Barrier Reef","Agincourt Reef No.1",-16.0504,145.8623,NA,"AUS","HIGH"
1987,"Torres Strait & Great Barrier Reef","Agincourt Reef No.2",-16.0236,145.8477,NA,"AUS","HIGH"
1992,"Torres Strait & Great Barrier Reef","Agincourt Reef No.4",-15.9508,145.8168,NA,"AUS","HIGH"
1994,"Torres Strait & Great Barrier Reef","Agincourt Reefs No.3",-15.9937,145.8295,NA,"AUS","HIGH"
1999,"Cook Islands","Aitutaki",-18.846408,-159.797221,"5 colonies of corals were entirely bleached among all 6 sample sites.","COK","HIGH"
1994,"Cook Islands","Aitutaki Atoll",-18.8625,-159.8028333," Minimal bleaching","COK","HIGH"
1998,"New Caledonia","Akaia",-21.63,165.45,"0","NCL","HIGH"
1998,"Mexico","Akumal",20.4167,-87.3,"95-100% bleaching","MEX","HIGH"
1996,"Bahrain","Al Dar Island, Fasht Al Adhom",26.127,50.679,"All corals were bleached.

Acropora arabensis - all coral bleached, most colonized.

Platygyra daedalea - all coral bleached, some colonized.

Stylophora sp. new coral (25-50cm bleached and colonized, half of adult coral died.

Favia pallida - All coral bleached.","BHR","HIGH"
1998,"Qatar","Al Khor",25.75,51.4167,"extensive","QAT","HIGH"
1998,"Saudi Arabia","Al Wadj ",24.2,36.8,"Some locations bleached heavily","SAU","HIGH"
1981,"Philippines","Alcoy",9.666666667,123.55,"Bleaching reported on southern reef slope. ","PHL","HIGH"
1998,"Seychelles","Aldabra",-9.416666667,46.41666667,"The dead corals were covered with filamentous algae, which were expanding to cover areas of dying corals Corals at 14 sites in the Seychelles Marine Park system showed that an average of about 75% were recently dead (ranging ffrom 50% to 95%).","SYC","HIGH"
1998,"Seychelles","Aldabra Atoll",-9.4476,46.3991,"30% bleached","SYC","HIGH"
1998,"Torres Strait & Great Barrier Reef","Alexandra Rf",-16.54751,145.49748,NA,"AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Alexandra Rf",-16.54751,145.49748,NA,"AUS","HIGH"
1998,"Belize","Alligator Caye",17.18,-88.08,"25-30% bleached","BLZ","HIGH"
1998,"Seychelles","Alphonse Atoll",-7.0113,52.7348,"54% bleached","SYC","HIGH"
1998,"Japan","Amakusa, Kyushu, Japan",32.4181,129.994,"50-70%","JPN","HIGH"
1998,"Japan","Amami Islands",28.2667,129.35,"bleaching","JPN","HIGH"
1987,"Japan","Amami-Gunto",28,129.3333333,"Bleaching in this are was caused by freshwater runoff and low tides. ","JPN","HIGH"
1995,"Belize","Ambergris Cay",18.03333333,-87.88333333," Widespread but patchy","BLZ","HIGH"
1998,"Belize","Ambergris Cay",18.03333333,-87.88333333," ","BLZ","HIGH"
1998,"Belize","Ambergris Caye",18.0048,-87.8997,"severe bleaching","BLZ","HIGH"
1999,"Belize","Ambergris Caye",18.0048,-87.8997,"low bleaching","BLZ","HIGH"
1998,"American Samoa","American Samoa",-14.3247,-170.6968,NA,"ASM","HIGH"
1998,"Torres Strait & Great Barrier Reef","Anchorsmith Is",-20.61667,149.06667,NA,"AUS","HIGH"
1989,"India","Andaman Islands",11.73333333,92.88333333," Extent Unspecified","IND","HIGH"
1998,"India","Andaman Islands",11.73333333,92.88333333,"Surviving taxa included Porites spp., Platygyra spp., Favites spp. and Fungia spp. Repeated surveys in September revealed that coral mortality was higher than 50%.","IND","HIGH"
1998,"India","Andaman Islands, Bay of Bengal",11.2161,92.5991,"65-80%","IND","HIGH"
1991,"Thailand","Andaman Reefs",8,98.5,"Correlated to sea surface warming from January to May. ","THA","HIGH"
1998,"Thailand","Andaman Sea",7.9892,98.2673,"no bleaching","THA","HIGH"
1994,"Torres Strait & Great Barrier Reef","Andersen Reef",-15.7936,145.796,NA,"AUS","HIGH"
1979,"Virgin Islands (British)","Anegada",18.73333333,-64.31666667,"Actual cause of bleaching is not known. Partial mortality","VBG","HIGH"
1999,"Philippines","Anilao, Butangus",14.85,120.8167,"Minor bleaching","PHL","HIGH"
1998,"Hawaiian Islands (USA)","Anini Reef, Hawaii",22.2251,-159.3636,"0","USA","HIGH"
1998,"Madagascar","Antanambe",-16.5,49.85,"30%","MDG","HIGH"
1998,"Torres Strait & Great Barrier Reef","Ape Rf",-12.71394,143.60574,NA,"AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Aplin Islet",-11.18201,143.02914,NA,"AUS","HIGH"
1999,"Philippines","Apo Island",9.08333,123.26667,NA,"PHL","HIGH"
1998,"Philippines","Apo Island",9.083333333,123.2666667,"Moderate bleaching; Some large colonies of hard corals showed some patchy bleaching.","PHL","HIGH"
1998,"Philippines","Apo Island Marine Reserve",9.08,123.2667,"90% of colony bleached during Aug- Sept 1998","PHL","HIGH"
1998,"Philippines","Apo Island Marine Reserve",9.07,123.27,"90","PHL","HIGH"
1998,"Qatar","Arabian Gulf",26,51.5,"extensive","QAT","HIGH"
1998,"Saudi Arabia","Arabian Gulf - Four nearshore patch reefs",27.3107,49.5072,"Widespread bleaching with 95% mortality of Acropora, water temps 35.2-35.9deg C","SAU","HIGH"
1998,"Saudi Arabia","Arabian Gulf - One offshore patch reef",27.5,49.7,"Minimal bleaching","SAU","HIGH"
1998,"Palau","Arakabasan ",7.3,134.35,"severe bleaching","PLW","HIGH"
1998,"Palau","Arakabesan ( Ngerekebesang )",7.35,134.4533333," There was 20-70% bleaching and high mortality.","PLW","HIGH"
1998,"Maldives","Ari Atoll",3.8756,72.8433,"Widespread bleaching but alleviated slightly by poor water clarity","MDV","HIGH"
1998,"Maldives","Ari Atoll",3.8756,72.8433,"90% coral bleached","MDV","HIGH"
1998,"Maldives","Ari Atoll ( Alifu )",4,72.81666667," 95% of mostly Acropora communities are dead, including soft corals and anemones. Many massive corals are stilll under stress and partially bleached. Prior to this, coral cover was around 30-50% in shallow water, decreasing with depth. Bleaching appears t","MDV","HIGH"
1994,"Torres Strait & Great Barrier Reef","Arlington Reef",-16.7012,146.0509,NA,"AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Arlington Rf, SW side",-16.70117,146.05092,NA,"AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Arlington Rf, SW side",-16.70117,146.05092,NA,"AUS","HIGH"
1998,"Torres Strait & Great Barrier Reef","Arlington Rf,SE and S side",-16.70117,146.05092,"5-10%","AUS","HIGH"
