"YEAR","LAT","LON","COUNTRY","REMARKS","CODE","SEVERITY"
1999,12.196,-68.302167,"Netherlands Antilles","2-18m depth","ANT","Plague Disease"
1999,12.16583333,-68.32666667,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1999,17.46483333,-62.986,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
2003,12.074528,-68.87919444,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 13m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
2000,12.3289722,-69.1503333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
2000,12.3289722,-69.1503333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
2000,12.3289722,-69.1503333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
2000,12.3289722,-69.1503333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.3289722,-69.1503333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.3289722,-69.1503333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.3289722,-69.1503333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.3753611,-69.1582777,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.3753611,-69.1582777,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.3753611,-69.1582777,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.3753611,-69.1582777,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.3753611,-69.1582777,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.3753611,-69.1582777,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1999,12.21833333,-68.35283333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1999,12.21833333,-68.35283333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1999,12.21833333,-68.35283333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1999,12.21833333,-68.35283333,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
2001,12.21947222,-68.35955556,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
2002,12.21947222,-68.35955556,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
