"YEAR","COUNTRY","LOCATION","LAT","LON","REMARKS","CODE","SEVERITY"
1987,"Maldives","Addu Atoll ( Seenu Atoll )",0.7,73.18333333,"Extent Unspecified; Occurring at all depths.","MDV","HIGH"
1987,"Torres Strait & Great Barrier Reef","Agincourt Reef No.2",-16.0236,145.8477,NA,"AUS","HIGH"
1981,"Philippines","Alcoy",9.666666667,123.55,"Bleaching reported on southern reef slope. ","PHL","HIGH"
1987,"Japan","Amami-Gunto",28,129.3333333,"Bleaching in this are was caused by freshwater runoff and low tides. ","JPN","HIGH"
1989,"India","Andaman Islands",11.73333333,92.88333333," Extent Unspecified","IND","HIGH"
1979,"Virgin Islands (British)","Anegada",18.73333333,-64.31666667,"Actual cause of bleaching is not known. Partial mortality","VBG","HIGH"
1987,"Bahamas","Bahamas",26.53333333,-76.9,"Extent Unspecified","BHS","HIGH"
1986,"Barbados","Barbados",13.0391,-59.5231,"A 2m high, 3m diameter colony of Dendrogyra cylindratus was completely bleached on the bank reef off Barbados in mid-July 1986.  A week later it began to turn brown around the base, 2 weeks alter about 25% of the colony had recovered, in 3 weeks the entir","BRB","HIGH"
1987,"Torres Strait & Great Barrier Reef","Barren Island Reef",-23.1649,151.079,NA,"AUS","HIGH"
1987,"Torres Strait & Great Barrier Reef","Barren Island Reef",-23.1642,151.0697,NA,"AUS","HIGH"
1982,"Torres Strait & Great Barrier Reef","Big Broadhurst Reef A",-18.9118,147.7439,NA,"AUS","HIGH"
1982,"Torres Strait & Great Barrier Reef","Big Broadhurst Reef B",-18.8699,147.6952,NA,"AUS","HIGH"
1983,"Florida (USA)","Big Pine Key",24.6922,-81.3728,"severely bleached","USA","HIGH"
1987,"Netherlands Antilles","Bonaire",12.18333333,-68.3," ","ANT","HIGH"
1979,"Netherlands Antilles","Bonaire",12.18333333,-68.3,"In June 1979, an extensive and long-term bleaching event began in Bonaire.  It developed progressively and became most extensive and intense in September and October, 1979.  The event ended in February 1980.  Bleaching occurred on all but the windward coa","ANT","HIGH"
1987,"Torres Strait & Great Barrier Reef","Brampton Island Reef",-20.8159,149.2661,NA,"AUS","HIGH"
1979,"Virgin Islands (British)","British Virgin Islands",18.5,-64.5," Extent Unspecified","VBG","HIGH"
1980,"Torres Strait & Great Barrier Reef","Britomart Reef",-18.23,146.7286,NA,"AUS","HIGH"
1982,"Torres Strait & Great Barrier Reef","Britomart Reef",-18.23,146.7286,NA,"AUS","HIGH"
1983,"Costa Rica","CaÐo Island",8.716666667,-83.86666667,"At the Atlantic (Cahuita, Punta Cocles, Manzanillo, Punta Mona) and the Pacific coast (Samara, Mal Pais, Manuel Antonio, Isla del Cano). The phenomenon is probably associated with elevated water temperatures caused by the 1983 El NiÐo. See also Cortes et ","CRI","HIGH"
1984,"Costa Rica","CaÐo Island",8.716666667,-83.86666667,"Bleaching was associated with the 1984 ENSO event. ","CRI","HIGH"
1983,"Costa Rica","Cahuita",9.75,-82.8,"At the Atlantic (Cahuita, Punta Cocles, Manzanillo, Punta Mona) and the Pacific coast (Samara, Mal Pais, Manuel Antonio, Isla del Cano). The phenomenon is probably associated with elevated water temperatures caused by the 1983 El NiÐo. Water temperatures ","CRI","HIGH"
